{\rtf1\ansi\ansicpg1252\cocoartf2639
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 ArialMT;}
{\colortbl;\red255\green255\blue255;\red0\green0\blue0;}
{\*\expandedcolortbl;;\cssrgb\c0\c0\c0;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx566\tx1133\tx1700\tx2267\tx2834\tx3401\tx3968\tx4535\tx5102\tx5669\tx6236\tx6803\pardirnatural\partightenfactor0

\f0\fs22 \cf0 name, weight\
\pard\pardeftab720\partightenfactor0
\cf2 Swisse Ultiboost Evening Primrose Oil 200 Capsules,0.4\
Swisse Ultiboost Grape Seed 14250mg 300 Tablets,0.3\
GNC Turmeric Curcumin 1000mg,0.15\
Blackmores Bio C 1000mg Vitamin C Immune Support 150 Tablets,0.4\
Swisse Skincare Bio Ceramide Renewing Defence Cream 50g,0.15\
Dr LeWinns Line Smoothing Complex Intensive Action Caviar Eye Serum 15ml,0.06\
Dr LeWinn's Eternal Youth Day and Night Eye Cream 15g,0.05\
Swisse Ultiboost Zinc+ 60 Tablets,0.1\
Dr LeWinn's Ultra R4 Eye Repair Cream 15g,0.1\
Blackmores Odourless Fish Oil 1000mg Omega-3 400 Capsules,0.65\
Dr LeWinn's Reversaderm Corrective Skin Peel 30ml,0.1\
Carusos Total Beauty Collagen 60 Tablets NEW,0.13\
Nature's Own Fish Oil 4 in 1 Concentrated with Omega 3 - 90 Capsules,0.12\
Blackmores Vitamin E 1000IU Cholesterol Health 100 Capsules,0.35\
Swisse Ultiboost Liver Detox 200 Tablets,0.3\
Swisse Ultiboost Liver Detox 120 Tablets,0.18\
Nature's Way Beauty Collagen 120 Tablets,0.2\
Blackmores Evening Primrose Oil Skin Health Vitamin 190 Capsules,0.37\
Bioglan Odourless Super Fish Oil Double Strength 200 Capsules,0.36\
CeraVe Hydrating Cleanser 236ml,0.3\
CeraVe Skin Renewing Vitamin C Serum 30ml,0.06\
CeraVe Blemish Control Resurfacing Retinol Serum 30ml,0.07\
Dr LeWinn's Private Formula Firming Eye Cream 30g,0.07}
